condition,branch,task,metric,value,stderr,stock_metric,stock_value,stock_stderr,delta_vs_control,instruction_minus_direct
control,direct,gsm8k,"exact_match,flexible-extract",0.7323730098559514,0.012194764427053346,,,,0.0,-0.18347232752084908
control,direct,hendrycks_math500,"answer_prefix_math_verify,none",0.196,0.01775297158224504,"exact_match,none",0.02,0.006267260734501833,0.0,-0.09000000000000001
control,direct,arc_challenge,"acc_norm,none",0.5784982935153583,0.014430197069326087,,,,0.0,-0.05716723549488045
control,direct,hellaswag,"acc_norm,none",0.7771360286795459,0.004153172511339532,,,,0.0,-0.02688707428799042
control,direct,winogrande,"acc,none",0.7158642462509865,0.012675392786772644,,,,0.0,-0.012628255722178294
control,direct,piqa,"acc_norm,none",0.8008705114254625,0.009317391893706891,,,,0.0,-0.005984766050054491
control,direct,agieval_logiqa_en,"acc_norm,none",0.41781874039938555,0.01934489559271411,,,,0.0,-0.010752688172043001
control,direct,bbh,"exact_match,get-answer",0.68007986484411,0.00506351684691854,,,,0.0,-0.68007986484411
control,direct,mmlu,"acc,none",0.7064520723543655,0.0035606519817140145,,,,0.0,-0.010112519584104862
control,direct,mmlu_formal_logic,"acc,none",0.5238095238095238,0.04467062628403266,,,,0.0,0.04761904761904756
control,direct,mmlu_pro,"exact_match,custom-extract",0.4468916223404255,0.004426084965712038,,,,0.0,0.01687167553191493
control,direct,bbh_cot_fewshot_boolean_expressions,"exact_match,get-answer",0.912,0.017953084777052885,,,,0.0,-0.912
control,direct,bbh_cot_fewshot_formal_fallacies,"exact_match,get-answer",0.552,0.031514387611153515,,,,0.0,-0.552
control,direct,bbh_cot_fewshot_logical_deduction_three_objects,"exact_match,get-answer",0.84,0.023232714782060657,,,,0.0,-0.84
control,direct,bbh_cot_fewshot_logical_deduction_five_objects,"exact_match,get-answer",0.48,0.03166085340849519,,,,0.0,-0.48
control,direct,bbh_cot_fewshot_logical_deduction_seven_objects,"exact_match,get-answer",0.376,0.03069633626739458,,,,0.0,-0.376
control,instruction,gsm8k,"exact_match,flexible-extract",0.5489006823351024,0.013706458809664819,,,,0.0,-0.18347232752084908
control,instruction,hendrycks_math500,"answer_prefix_math_verify,none",0.106,0.013766916866168693,"exact_match,none",0.0,0.0,0.0,-0.09000000000000001
control,instruction,arc_challenge,"acc_norm,none",0.5213310580204779,0.014598087973127125,,,,0.0,-0.05716723549488045
control,instruction,hellaswag,"acc_norm,none",0.7502489543915555,0.004319842107724203,,,,0.0,-0.02688707428799042
control,instruction,winogrande,"acc,none",0.7032359905288083,0.012839239695201914,,,,0.0,-0.012628255722178294
control,instruction,piqa,"acc_norm,none",0.794885745375408,0.009420971671018023,,,,0.0,-0.005984766050054491
control,instruction,agieval_logiqa_en,"acc_norm,none",0.40706605222734255,0.019269876106399415,,,,0.0,-0.010752688172043001
control,instruction,bbh,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.68007986484411
control,instruction,mmlu,"acc,none",0.6963395527702606,0.0036497976374228755,,,,0.0,-0.010112519584104862
control,instruction,mmlu_formal_logic,"acc,none",0.5714285714285714,0.04426266681379905,,,,0.0,0.04761904761904756
control,instruction,mmlu_pro,"exact_match,custom-extract",0.46376329787234044,0.0044408646383101505,,,,0.0,0.01687167553191493
control,instruction,bbh_cot_fewshot_boolean_expressions,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.912
control,instruction,bbh_cot_fewshot_formal_fallacies,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.552
control,instruction,bbh_cot_fewshot_logical_deduction_three_objects,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.84
control,instruction,bbh_cot_fewshot_logical_deduction_five_objects,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.48
control,instruction,bbh_cot_fewshot_logical_deduction_seven_objects,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.376
logic,direct,gsm8k,"exact_match,flexible-extract",0.7619408642911296,0.011731278748420903,,,,0.029567854435178176,-0.19636087945413194
logic,direct,hendrycks_math500,"answer_prefix_math_verify,none",0.208,0.018151363585141474,"exact_match,none",0.026,0.007123868260853507,0.011999999999999983,-0.09599999999999999
logic,direct,arc_challenge,"acc_norm,none",0.5767918088737202,0.014438036220848015,,,,-0.0017064846416381396,-0.05204778156996592
logic,direct,hellaswag,"acc_norm,none",0.7771360286795459,0.004153172511339532,,,,0.0,-0.026289583748257295
logic,direct,winogrande,"acc,none",0.712707182320442,0.012717481052478153,,,,-0.0031570639305446013,-0.01420678768745065
logic,direct,piqa,"acc_norm,none",0.8019586507072906,0.009298209954776763,,,,0.0010881392818280489,-0.008705114254624613
logic,direct,agieval_logiqa_en,"acc_norm,none",0.4162826420890937,0.01933475961078378,,,,-0.0015360983102918335,-0.01228878648233489
logic,direct,bbh,"exact_match,get-answer",0.6748579327292274,0.005103985837810286,,,,-0.005221932114882533,-0.6748579327292274
logic,direct,mmlu,"acc,none",0.7082324455205811,0.0035620187699507934,,,,0.0017803731662155986,-0.010112519584104751
logic,direct,mmlu_formal_logic,"acc,none",0.5079365079365079,0.04471572536294351,,,,-0.015873015873015928,0.06349206349206349
logic,direct,mmlu_pro,"exact_match,custom-extract",0.4473902925531915,0.004428875068344485,,,,0.0004986702127660059,0.015791223404255317
logic,direct,bbh_cot_fewshot_boolean_expressions,"exact_match,get-answer",0.892,0.01966955938156875,,,,-0.020000000000000018,-0.892
logic,direct,bbh_cot_fewshot_formal_fallacies,"exact_match,get-answer",0.524,0.03164968895968782,,,,-0.028000000000000025,-0.524
logic,direct,bbh_cot_fewshot_logical_deduction_three_objects,"exact_match,get-answer",0.82,0.024346890650293516,,,,-0.020000000000000018,-0.82
logic,direct,bbh_cot_fewshot_logical_deduction_five_objects,"exact_match,get-answer",0.46,0.031584653891499,,,,-0.019999999999999962,-0.46
logic,direct,bbh_cot_fewshot_logical_deduction_seven_objects,"exact_match,get-answer",0.392,0.0309382076204012,,,,0.016000000000000014,-0.392
logic,instruction,gsm8k,"exact_match,flexible-extract",0.5655799848369977,0.013653507211411424,,,,0.01667930250189531,-0.19636087945413194
logic,instruction,hendrycks_math500,"answer_prefix_math_verify,none",0.112,0.014103616557464968,"exact_match,none",0.0,0.0,0.006000000000000005,-0.09599999999999999
logic,instruction,arc_challenge,"acc_norm,none",0.5247440273037542,0.014593487694937702,,,,0.0034129692832763903,-0.05204778156996592
logic,instruction,hellaswag,"acc_norm,none",0.7508464449312886,0.004316389476434336,,,,0.0005974905397331254,-0.026289583748257295
logic,instruction,winogrande,"acc,none",0.6985003946329913,0.01289762807254676,,,,-0.0047355958958169575,-0.01420678768745065
logic,instruction,piqa,"acc_norm,none",0.7932535364526659,0.009448665514183151,,,,-0.0016322089227420733,-0.008705114254624613
logic,instruction,agieval_logiqa_en,"acc_norm,none",0.4039938556067588,0.019246690834000695,,,,-0.0030721966205837226,-0.01228878648233489
logic,instruction,bbh,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.6748579327292274
logic,instruction,mmlu,"acc,none",0.6981199259364763,0.003637770261669716,,,,0.0017803731662157096,-0.010112519584104751
logic,instruction,mmlu_formal_logic,"acc,none",0.5714285714285714,0.04426266681379905,,,,0.0,0.06349206349206349
logic,instruction,mmlu_pro,"exact_match,custom-extract",0.46318151595744683,0.004441715882829854,,,,-0.0005817819148936088,0.015791223404255317
logic,instruction,bbh_cot_fewshot_boolean_expressions,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.892
logic,instruction,bbh_cot_fewshot_formal_fallacies,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.524
logic,instruction,bbh_cot_fewshot_logical_deduction_three_objects,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.82
logic,instruction,bbh_cot_fewshot_logical_deduction_five_objects,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.46
logic,instruction,bbh_cot_fewshot_logical_deduction_seven_objects,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.392
nl_exact,direct,gsm8k,"exact_match,flexible-extract",0.711144806671721,0.01248421980012667,,,,-0.021228203184230465,-0.12130401819560266
nl_exact,direct,hendrycks_math500,"answer_prefix_math_verify,none",0.21,0.01821537811850196,"exact_match,none",0.02,0.006267260734501833,0.013999999999999985,-0.088
nl_exact,direct,arc_challenge,"acc_norm,none",0.5716723549488054,0.014460496367599081,,,,-0.0068259385665528916,-0.05290102389078499
nl_exact,direct,hellaswag,"acc_norm,none",0.7780322644891456,0.004147202539759789,,,,0.0008962358095997436,-0.029874526986656047
nl_exact,direct,winogrande,"acc,none",0.712707182320442,0.012717481052478153,,,,-0.0031570639305446013,-0.022888713496448276
nl_exact,direct,piqa,"acc_norm,none",0.8030467899891186,0.009278918898006477,,,,0.0021762785636560977,-0.01305767138193692
nl_exact,direct,agieval_logiqa_en,"acc_norm,none",0.4162826420890937,0.01933475961078378,,,,-0.0015360983102918335,-0.016897081413210446
nl_exact,direct,bbh,"exact_match,get-answer",0.6840731070496083,0.005017319377464615,,,,0.0039932422054983485,-0.6840731070496083
nl_exact,direct,mmlu,"acc,none",0.7079475858139866,0.0035570497881768745,,,,0.0014955134596211783,-0.009329155390970012
nl_exact,direct,mmlu_formal_logic,"acc,none",0.49206349206349204,0.04471572536294351,,,,-0.0317460317460318,0.07936507936507936
nl_exact,direct,mmlu_pro,"exact_match,custom-extract",0.44581117021276595,0.004426800777589868,,,,-0.0010804521276595591,0.016539228723404242
nl_exact,direct,bbh_cot_fewshot_boolean_expressions,"exact_match,get-answer",0.908,0.018316275379429644,,,,-0.0040000000000000036,-0.908
nl_exact,direct,bbh_cot_fewshot_formal_fallacies,"exact_match,get-answer",0.532,0.031621252575725504,,,,-0.020000000000000018,-0.532
nl_exact,direct,bbh_cot_fewshot_logical_deduction_three_objects,"exact_match,get-answer",0.836,0.02346526100207676,,,,-0.0040000000000000036,-0.836
nl_exact,direct,bbh_cot_fewshot_logical_deduction_five_objects,"exact_match,get-answer",0.468,0.031621252575725504,,,,-0.011999999999999955,-0.468
nl_exact,direct,bbh_cot_fewshot_logical_deduction_seven_objects,"exact_match,get-answer",0.404,0.031096688184825295,,,,0.028000000000000025,-0.404
nl_exact,instruction,gsm8k,"exact_match,flexible-extract",0.5898407884761183,0.013548335117860341,,,,0.04094010614101595,-0.12130401819560266
nl_exact,instruction,hendrycks_math500,"answer_prefix_math_verify,none",0.122,0.014636666287102402,"exact_match,none",0.0,0.0,0.016,-0.088
nl_exact,instruction,arc_challenge,"acc_norm,none",0.5187713310580204,0.01460109015063406,,,,-0.0025597269624574315,-0.05290102389078499
nl_exact,instruction,hellaswag,"acc_norm,none",0.7481577375024896,0.004331840012787794,,,,-0.0020912168890658833,-0.029874526986656047
nl_exact,instruction,winogrande,"acc,none",0.6898184688239937,0.0130004541448598,,,,-0.013417521704814583,-0.022888713496448276
nl_exact,instruction,piqa,"acc_norm,none",0.7899891186071817,0.009503353305818687,,,,-0.004896626768226331,-0.01305767138193692
nl_exact,instruction,agieval_logiqa_en,"acc_norm,none",0.39938556067588327,0.019210443257589534,,,,-0.007680491551459279,-0.016897081413210446
nl_exact,instruction,bbh,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.6840731070496083
nl_exact,instruction,mmlu,"acc,none",0.6986184304230166,0.0036439928907039125,,,,0.0022788776527560284,-0.009329155390970012
nl_exact,instruction,mmlu_formal_logic,"acc,none",0.5714285714285714,0.04426266681379905,,,,0.0,0.07936507936507936
nl_exact,instruction,mmlu_pro,"exact_match,custom-extract",0.4623503989361702,0.00443073416401196,,,,-0.0014128989361702482,0.016539228723404242
nl_exact,instruction,bbh_cot_fewshot_boolean_expressions,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.908
nl_exact,instruction,bbh_cot_fewshot_formal_fallacies,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.532
nl_exact,instruction,bbh_cot_fewshot_logical_deduction_three_objects,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.836
nl_exact,instruction,bbh_cot_fewshot_logical_deduction_five_objects,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.468
nl_exact,instruction,bbh_cot_fewshot_logical_deduction_seven_objects,"exact_match,get-answer",0.0,0.0,,,,0.0,-0.404
