condition,mode,protocol,benchmark,task,qa_f1,qa_exact_match,tag_found,extracted_nonempty
control,direct,standard_short_answer,2wikimqa,synthrlvl_longbench_2wikimqa_standard,0.2006370041161433,,,
control,direct,strict_tagged,2wikimqa,synthrlvl_longbench_2wikimqa_tagged,0.3238910533910534,0.265,0.995,0.975
control,direct,standard_short_answer,hotpotqa,synthrlvl_longbench_hotpotqa_standard,0.2641668292881846,,,
control,direct,strict_tagged,hotpotqa,synthrlvl_longbench_hotpotqa_tagged,0.41262751371079354,0.305,0.985,0.995
control,direct,standard_short_answer,musique,synthrlvl_longbench_musique_standard,0.10105334538611731,,,
control,direct,strict_tagged,musique,synthrlvl_longbench_musique_tagged,0.19877832109411056,0.135,0.97,0.99
control,instruction,standard_short_answer,2wikimqa,synthrlvl_longbench_2wikimqa_standard,0.11018512374024839,,,
control,instruction,strict_tagged,2wikimqa,synthrlvl_longbench_2wikimqa_tagged,0.28074896689138173,0.21,0.755,0.7
control,instruction,standard_short_answer,hotpotqa,synthrlvl_longbench_hotpotqa_standard,0.11091864784704893,,,
control,instruction,strict_tagged,hotpotqa,synthrlvl_longbench_hotpotqa_tagged,0.375831768024667,0.27,0.63,0.775
control,instruction,standard_short_answer,musique,synthrlvl_longbench_musique_standard,0.06974236377395955,,,
control,instruction,strict_tagged,musique,synthrlvl_longbench_musique_tagged,0.1040923853304884,0.065,0.265,0.45
nl_p15,direct,standard_short_answer,2wikimqa,synthrlvl_longbench_2wikimqa_standard,0.19388316896195143,,,
nl_p15,direct,strict_tagged,2wikimqa,synthrlvl_longbench_2wikimqa_tagged,0.08783333333333333,0.08,0.33,0.195
nl_p15,direct,standard_short_answer,hotpotqa,synthrlvl_longbench_hotpotqa_standard,0.3778909327772588,,,
nl_p15,direct,strict_tagged,hotpotqa,synthrlvl_longbench_hotpotqa_tagged,0.09417972350230414,0.08,0.3,0.24
nl_p15,direct,standard_short_answer,musique,synthrlvl_longbench_musique_standard,0.14283512880893753,,,
nl_p15,direct,strict_tagged,musique,synthrlvl_longbench_musique_tagged,0.02471969696969697,0.01,0.25,0.165
nl_p15,instruction,standard_short_answer,2wikimqa,synthrlvl_longbench_2wikimqa_standard,0.08314787799234562,,,
nl_p15,instruction,strict_tagged,2wikimqa,synthrlvl_longbench_2wikimqa_tagged,0.28606989781989783,0.215,0.855,0.855
nl_p15,instruction,standard_short_answer,hotpotqa,synthrlvl_longbench_hotpotqa_standard,0.10736425610626656,,,
nl_p15,instruction,strict_tagged,hotpotqa,synthrlvl_longbench_hotpotqa_tagged,0.45740671021947926,0.345,0.83,0.87
nl_p15,instruction,standard_short_answer,musique,synthrlvl_longbench_musique_standard,0.06491450918654214,,,
nl_p15,instruction,strict_tagged,musique,synthrlvl_longbench_musique_tagged,0.16165176785778065,0.105,0.555,0.69
logic_p15,direct,standard_short_answer,2wikimqa,synthrlvl_longbench_2wikimqa_standard,0.21057456651062453,,,
logic_p15,direct,strict_tagged,2wikimqa,synthrlvl_longbench_2wikimqa_tagged,0.0025,0.0,0.01,0.01
logic_p15,direct,standard_short_answer,hotpotqa,synthrlvl_longbench_hotpotqa_standard,0.3872648438335229,,,
logic_p15,direct,strict_tagged,hotpotqa,synthrlvl_longbench_hotpotqa_tagged,0.005,0.005,0.01,0.01
logic_p15,direct,standard_short_answer,musique,synthrlvl_longbench_musique_standard,0.1530533263886512,,,
logic_p15,direct,strict_tagged,musique,synthrlvl_longbench_musique_tagged,0.0,0.0,0.015,0.015
logic_p15,instruction,standard_short_answer,2wikimqa,synthrlvl_longbench_2wikimqa_standard,0.11419619530406801,,,
logic_p15,instruction,strict_tagged,2wikimqa,synthrlvl_longbench_2wikimqa_tagged,0.2559781052281052,0.18,0.785,0.755
logic_p15,instruction,standard_short_answer,hotpotqa,synthrlvl_longbench_hotpotqa_standard,0.11662067715579907,,,
logic_p15,instruction,strict_tagged,hotpotqa,synthrlvl_longbench_hotpotqa_tagged,0.4599500810338911,0.34,0.865,0.855
logic_p15,instruction,standard_short_answer,musique,synthrlvl_longbench_musique_standard,0.06877218781952629,,,
logic_p15,instruction,strict_tagged,musique,synthrlvl_longbench_musique_tagged,0.16628945255367156,0.105,0.58,0.65
