condition,step,category,n,rate
train0p0_correct_only,5,correct_cfvalid_gold_atom_derived,192,1.0
train0p0_correct_only,10,correct_cfinvalid_gold_atom_derived,22,0.11458333333333333
train0p0_correct_only,10,correct_cfinvalid_no_gold_atom,10,0.052083333333333336
train0p0_correct_only,10,correct_cfvalid_gold_atom_derived,72,0.375
train0p0_correct_only,10,correct_cfvalid_no_gold_atom,5,0.026041666666666668
train0p0_correct_only,10,malformed,5,0.026041666666666668
train0p0_correct_only,10,shortcut_wrong,62,0.3229166666666667
train0p0_correct_only,10,wrong_cfinvalid,10,0.052083333333333336
train0p0_correct_only,10,wrong_cfvalid_gold_atom_derived,1,0.005208333333333333
train0p0_correct_only,10,wrong_cfvalid_no_gold_atom,5,0.026041666666666668
train0p0_correct_only,15,correct_cfinvalid_gold_atom_derived,13,0.06770833333333333
train0p0_correct_only,15,correct_cfinvalid_no_gold_atom,14,0.07291666666666667
train0p0_correct_only,15,correct_cfvalid_gold_atom_derived,3,0.015625
train0p0_correct_only,15,correct_cfvalid_no_gold_atom,1,0.005208333333333333
train0p0_correct_only,15,malformed,88,0.4583333333333333
train0p0_correct_only,15,shortcut_wrong,52,0.2708333333333333
train0p0_correct_only,15,wrong_cfinvalid,19,0.09895833333333333
train0p0_correct_only,15,wrong_cfvalid_no_gold_atom,2,0.010416666666666666
train0p0_correct_only,20,correct_cfinvalid_gold_atom_derived,4,0.020833333333333332
train0p0_correct_only,20,correct_cfinvalid_no_gold_atom,5,0.026041666666666668
train0p0_correct_only,20,malformed,146,0.7604166666666666
train0p0_correct_only,20,shortcut_wrong,6,0.03125
train0p0_correct_only,20,wrong_cfinvalid,28,0.14583333333333334
train0p0_correct_only,20,wrong_cfvalid_no_gold_atom,3,0.015625
train0p0_validity_gated,5,correct_cfvalid_gold_atom_derived,192,1.0
train0p0_validity_gated,10,correct_cfinvalid_gold_atom_derived,28,0.14583333333333334
train0p0_validity_gated,10,correct_cfinvalid_no_gold_atom,10,0.052083333333333336
train0p0_validity_gated,10,correct_cfvalid_gold_atom_derived,68,0.3541666666666667
train0p0_validity_gated,10,correct_cfvalid_no_gold_atom,5,0.026041666666666668
train0p0_validity_gated,10,malformed,2,0.010416666666666666
train0p0_validity_gated,10,shortcut_wrong,67,0.3489583333333333
train0p0_validity_gated,10,wrong_cfinvalid,7,0.036458333333333336
train0p0_validity_gated,10,wrong_cfvalid_gold_atom_derived,1,0.005208333333333333
train0p0_validity_gated,10,wrong_cfvalid_no_gold_atom,4,0.020833333333333332
train0p0_validity_gated,15,correct_cfinvalid_gold_atom_derived,13,0.06770833333333333
train0p0_validity_gated,15,correct_cfinvalid_no_gold_atom,21,0.109375
train0p0_validity_gated,15,correct_cfvalid_gold_atom_derived,2,0.010416666666666666
train0p0_validity_gated,15,correct_cfvalid_no_gold_atom,3,0.015625
train0p0_validity_gated,15,malformed,74,0.3854166666666667
train0p0_validity_gated,15,shortcut_wrong,47,0.24479166666666666
train0p0_validity_gated,15,wrong_cfinvalid,27,0.140625
train0p0_validity_gated,15,wrong_cfvalid_gold_atom_derived,2,0.010416666666666666
train0p0_validity_gated,15,wrong_cfvalid_no_gold_atom,3,0.015625
train0p0_validity_gated,20,correct_cfinvalid_gold_atom_derived,2,0.010416666666666666
train0p0_validity_gated,20,correct_cfinvalid_no_gold_atom,7,0.036458333333333336
train0p0_validity_gated,20,malformed,140,0.7291666666666666
train0p0_validity_gated,20,shortcut_wrong,11,0.057291666666666664
train0p0_validity_gated,20,wrong_cfinvalid,30,0.15625
train0p0_validity_gated,20,wrong_cfvalid_no_gold_atom,2,0.010416666666666666
train0p5_correct_only,5,correct_cfvalid_gold_atom_derived,192,1.0
train0p5_correct_only,10,correct_cfinvalid_gold_atom_derived,27,0.140625
train0p5_correct_only,10,correct_cfinvalid_no_gold_atom,3,0.015625
train0p5_correct_only,10,correct_cfvalid_gold_atom_derived,70,0.3645833333333333
