condition,probe_type,step,correct,citation_free_valid,correct_gold_atom_derived_query,correct_cfvalid_gold_atom_derived,answer_derived_by_conclusion,answer_is_shortcut,proof_shorter_than_expected,proof_line_ratio
train0p0_correct_only,normal,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_correct_only,normal,10,0.5677083333333334,0.515625,0.4895833333333333,0.375,0.005208333333333333,0.3229166666666667,0.234375,0.9860321969696969
train0p0_correct_only,normal,15,0.16145833333333334,0.09375,0.08333333333333333,0.015625,0.005208333333333333,0.2708333333333333,0.6145833333333334,0.6731770833333334
train0p0_correct_only,normal,20,0.046875,0.020833333333333332,0.020833333333333332,0.0,0.015625,0.03125,0.859375,0.259796626984127
train0p0_correct_only,swap_marker,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_correct_only,swap_marker,10,0.6041666666666666,0.4270833333333333,0.5364583333333334,0.3177083333333333,0.015625,0.3125,0.2604166666666667,0.9678030303030303
train0p0_correct_only,swap_marker,15,0.2604166666666667,0.041666666666666664,0.09895833333333333,0.015625,0.005208333333333333,0.19791666666666666,0.640625,0.6663411458333334
train0p0_correct_only,swap_marker,20,0.036458333333333336,0.041666666666666664,0.015625,0.0,0.0,0.010416666666666666,0.8854166666666666,0.21205357142857142
train0p0_validity_gated,normal,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_validity_gated,normal,10,0.578125,0.5,0.5,0.3541666666666667,0.005208333333333333,0.3489583333333333,0.22916666666666666,1.0068655303030303
train0p0_validity_gated,normal,15,0.203125,0.09895833333333333,0.078125,0.010416666666666666,0.010416666666666666,0.24479166666666666,0.5885416666666666,0.74755859375
train0p0_validity_gated,normal,20,0.046875,0.010416666666666666,0.010416666666666666,0.0,0.0,0.057291666666666664,0.8541666666666666,0.2646329365079365
train0p0_validity_gated,swap_marker,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_validity_gated,swap_marker,10,0.5989583333333334,0.4635416666666667,0.546875,0.3541666666666667,0.005208333333333333,0.3229166666666667,0.234375,1.002367424242424
train0p0_validity_gated,swap_marker,15,0.24479166666666666,0.041666666666666664,0.10416666666666667,0.010416666666666666,0.015625,0.1875,0.6302083333333334,0.6497395833333334
train0p0_validity_gated,swap_marker,20,0.010416666666666666,0.026041666666666668,0.005208333333333333,0.0,0.005208333333333333,0.041666666666666664,0.8802083333333334,0.2533482142857143
train0p5_correct_only,normal,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_correct_only,normal,10,0.5416666666666666,0.5625,0.5052083333333334,0.3645833333333333,0.010416666666666666,0.3697916666666667,0.203125,1.0097064393939394
train0p5_correct_only,normal,15,0.171875,0.09375,0.08333333333333333,0.026041666666666668,0.005208333333333333,0.20833333333333334,0.6458333333333334,0.642578125
train0p5_correct_only,normal,20,0.052083333333333336,0.026041666666666668,0.015625,0.0,0.005208333333333333,0.046875,0.8645833333333334,0.2419394841269841
train0p5_correct_only,swap_marker,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_correct_only,swap_marker,10,0.5989583333333334,0.4947916666666667,0.5520833333333334,0.375,0.010416666666666666,0.3229166666666667,0.23958333333333334,1.0002367424242424
train0p5_correct_only,swap_marker,15,0.22916666666666666,0.052083333333333336,0.13020833333333334,0.0,0.005208333333333333,0.28125,0.578125,0.7584635416666666
train0p5_correct_only,swap_marker,20,0.057291666666666664,0.010416666666666666,0.005208333333333333,0.0,0.005208333333333333,0.052083333333333336,0.828125,0.32924107142857145
train0p5_validity_gated,normal,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_validity_gated,normal,10,0.5833333333333334,0.5625,0.5364583333333334,0.4166666666666667,0.0,0.3541666666666667,0.140625,1.0182291666666667
train0p5_validity_gated,normal,15,0.19791666666666666,0.109375,0.10416666666666667,0.010416666666666666,0.010416666666666666,0.28125,0.625,0.6575520833333334
train0p5_validity_gated,normal,20,0.041666666666666664,0.041666666666666664,0.010416666666666666,0.005208333333333333,0.010416666666666666,0.057291666666666664,0.8177083333333334,0.3194444444444445
train0p5_validity_gated,swap_marker,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_validity_gated,swap_marker,10,0.65625,0.546875,0.6145833333333334,0.4166666666666667,0.010416666666666666,0.265625,0.203125,0.9985795454545454
train0p5_validity_gated,swap_marker,15,0.265625,0.0625,0.125,0.03125,0.005208333333333333,0.16666666666666666,0.578125,0.724609375
train0p5_validity_gated,swap_marker,20,0.03125,0.026041666666666668,0.005208333333333333,0.0,0.0,0.057291666666666664,0.84375,0.2965029761904762
