condition,probe_type,step,correct,citation_free_valid,correct_gold_atom_derived_query,correct_cfvalid_gold_atom_derived,answer_derived_by_conclusion,answer_is_shortcut,proof_shorter_than_expected,proof_line_ratio
train0p0_correct_only,normal,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_correct_only,normal,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_correct_only,normal,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_correct_only,normal,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_correct_only,normal,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_correct_only,normal,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0
train0p0_correct_only,normal,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.9166666666666666
train0p0_correct_only,normal,8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0
train0p0_correct_only,normal,9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_correct_only,normal,10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_correct_only,normal,11,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,1.0555555555555556
train0p0_correct_only,normal,12,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0769230769230769
train0p0_correct_only,normal,13,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6547619047619048
train0p0_correct_only,normal,14,1.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,1.2666666666666666
train0p0_correct_only,normal,15,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.8958333333333334
train0p0_correct_only,normal,16,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.9411764705882352
train0p0_correct_only,normal,17,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.8055555555555557
train0p0_correct_only,normal,18,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.9298245614035089
train0p0_correct_only,normal,19,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.3416666666666666
train0p0_correct_only,normal,20,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.09523809523809523
train0p0_validity_gated,normal,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_validity_gated,normal,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_validity_gated,normal,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_validity_gated,normal,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_validity_gated,normal,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_validity_gated,normal,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0
train0p0_validity_gated,normal,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.9166666666666666
train0p0_validity_gated,normal,8,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0
train0p0_validity_gated,normal,9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_validity_gated,normal,10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p0_validity_gated,normal,11,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.9722222222222223
train0p0_validity_gated,normal,12,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.9743589743589745
train0p0_validity_gated,normal,13,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.9285714285714285
train0p0_validity_gated,normal,14,1.0,0.3333333333333333,1.0,0.3333333333333333,0.0,0.0,0.0,1.2666666666666666
train0p0_validity_gated,normal,15,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.8541666666666666
train0p0_validity_gated,normal,16,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.9215686274509803
train0p0_validity_gated,normal,17,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.861111111111111
train0p0_validity_gated,normal,18,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.6315789473684211
train0p0_validity_gated,normal,19,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
train0p0_validity_gated,normal,20,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.07142857142857142
train0p5_correct_only,normal,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_correct_only,normal,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_correct_only,normal,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_correct_only,normal,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_correct_only,normal,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_correct_only,normal,6,1.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.0,0.0,1.0
train0p5_correct_only,normal,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.9166666666666666
train0p5_correct_only,normal,8,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.037037037037037
train0p5_correct_only,normal,9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_correct_only,normal,10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_correct_only,normal,11,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.9444444444444443
train0p5_correct_only,normal,12,1.0,1.0,1.0,1.0,0.0,0.0,0.3333333333333333,0.8974358974358975
train0p5_correct_only,normal,13,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6547619047619048
train0p5_correct_only,normal,14,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,1.1444444444444446
train0p5_correct_only,normal,15,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.5833333333333334
train0p5_correct_only,normal,16,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.372549019607843
train0p5_correct_only,normal,17,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0925925925925926
train0p5_correct_only,normal,18,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.40350877192982454
train0p5_correct_only,normal,19,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.9916666666666666
train0p5_correct_only,normal,20,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3968253968253968
train0p5_validity_gated,normal,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_validity_gated,normal,2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_validity_gated,normal,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_validity_gated,normal,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_validity_gated,normal,5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_validity_gated,normal,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0
train0p5_validity_gated,normal,7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.9166666666666666
train0p5_validity_gated,normal,8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0
train0p5_validity_gated,normal,9,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_validity_gated,normal,10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
train0p5_validity_gated,normal,11,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3333333333333333,0.9722222222222223
train0p5_validity_gated,normal,12,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.923076923076923
train0p5_validity_gated,normal,13,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0833333333333333
train0p5_validity_gated,normal,14,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.3333333333333333,1.2222222222222223
train0p5_validity_gated,normal,15,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.7708333333333334
train0p5_validity_gated,normal,16,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0980392156862744
train0p5_validity_gated,normal,17,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,0.4444444444444444
train0p5_validity_gated,normal,18,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.6666666666666666,0.6315789473684211
train0p5_validity_gated,normal,19,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9083333333333333
train0p5_validity_gated,normal,20,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.5079365079365079
